ruco|viejo, hombre
cocowash|lavado de cerebro
mijo|hijo mio
eu|qué?
armar un pancho|hacer un berrinche o rabieta
naco|perteneciente al estrato bajo de la sociedad, de mal gusto
hacerse guaje|hacerse el desentendido
sepa|no se
echar aguas|avisar
ruca|mujer, vieja
es un canijo|es una mala persona
chamaco|nino
achicopalar|decaer animicamente
esta aguitado|esta triste
pinche|expresión para decir que es despreciable o de mala calidad
troca|traduccion regionalizada de truck, se refiere a una camioneta modelo pick-up
compa|amigo
gacho|feo
chachalaca|parlanchin
plebe|nino
andale|se emplea para incitar a alguien a emprender una accion
chancla|sandalia, zapato
ya merito|en un momento
es la neta|es la verdad
huerco|nino
que chafa|cuando algo sale mal o de mala calidad
quiubole|saludo informal
tlacuache|Un animal
esta Canon|esta difícil
no te rajes|cumple lo que prometes
lonche|emparedado, almuerzo que se lleva cuando se va a algun lugar
mochate|comparte
ay guey|asombro por algo que se acaba de presenciar
huarache|cierta comida tipica, prenda de vestir similar a una sandalia
de agrapa|se refiere a que es gratis
ahi muere|se usa para darle punto final a un pleito
que chido|algo muy bueno, muy agradable
que padre!|sorpresa y gusto por un suceso o una persona
abarrotes|tienda de ultramarinos, ultramarinos
corriente|vulgar, de mal gusto
esta chido|esta bonito
chacharear|pasear por los centros comerciales para pasar el tiempo
endrogarse|endeudarse
echar gallo|llevar serenata
emprestame|pedir prestado
dar el gatazo|pasar por bueno algo de mala calidad
chingaquedito|alguien fastidioso
ya te la sabanas|conoces la manera en que se hace
ahi nos vidrios|expresion de despedida
nos veremos luego|despedida
me choca|algo que te desagrada mucho
